DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE21D,2018,88.3,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE21E,2018,159.7,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE21F,2018,116.5,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE21G,2018,143.4,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE21H,2018,528.3,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE21I,2018,131.7,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE21J,2018,168.0,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE21K,2018,183.8,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE21L,2018,319.6,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE21M,2018,122.1,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE21N,2018,141.0,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE221,2018,1087.9,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE222,2018,801.9,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE223,2018,733.7,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE224,2018,140.0,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE225,2018,79.6,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE226,2018,114.9,
ESTAT:DEMO_R_D3DENS(1.0),20/08/21 23:00:00,A,PER_KM2,DE227,2018,117.6,
